T_wb,T_CT1,T_CT2,T_CT3,Load_tot,E_exchanged,E_consumed,COP
-1.0751477259756825,17.5,19.9,24.8,3248.347605743933,270.34717672569934,35.20267961516204,92.27557791779144
-1.0751477259756825,18.4,19.1,22.2,1704.8568833370546,141.69637386766692,1.17875,1446.3260940293146
-1.0751477259756825,18.4,19.1,22.2,2008.9539568939842,167.03779666407775,1.1835416666666667,1697.4087296411062
-1.0751477259756825,18.4,19.1,22.2,2134.683476868966,177.54906907988973,1.1883333333333332,1796.3675822179239
-1.0751477259756825,18.4,19.1,22.2,2250.6261471266403,187.21095826802926,1.1835416666666667,1901.6027998957707
-1.0751477259756825,18.4,19.1,22.2,2383.9160293279515,198.31844845147188,1.1835416666666667,2014.2223095888342
-1.0751477259756825,18.4,19.1,22.2,2479.9939286909976,206.3322274638049,1.1835416666666667,2095.4006086458
-1.3506160602496493,17.8,20.4,23.8,1455.3984966600317,120.94198739581188,1.1883333333333332,1224.7392678766046
-1.3506160602496493,17.8,20.4,23.8,1666.7556281665532,138.56236908676786,1.1883333333333332,1402.59940659177
-1.3506160602496493,17.8,20.4,23.8,1832.6230371719512,152.4238915663014,1.1883333333333332,1542.1792739174905
-1.3506160602496493,17.8,20.4,23.8,1971.7994498041191,164.0219259523154,1.1835416666666667,1666.0160815102572
-1.3506160602496493,17.8,20.4,23.8,1985.4837819809059,165.16228696704763,1.1835416666666667,1677.5782702883907
-1.3506160602496493,17.8,20.4,23.8,2098.1235681106414,174.60030897716038,1.1883333333333332,1765.6018805980152
-1.3506160602496493,17.5,21.0,24.1,2090.8653566520065,173.99545802227416,1.1883333333333332,1759.493988767467
-1.3506160602496493,17.5,21.0,24.1,1441.2173265081708,119.88853738929531,1.1883333333333332,1212.805604354702
-1.3506160602496493,17.5,21.0,24.1,1439.5560534727535,119.7500979696772,1.193125,1206.542527792774
-1.3506160602496493,17.5,21.0,24.1,1667.0094592299279,138.6741332371009,1.1883333333333332,1402.8130091696448
-1.3506160602496493,17.5,21.0,24.1,1649.3900914403562,137.23626780031074,1.1883333333333332,1387.9860517029647
-1.3506160602496493,17.5,21.0,24.1,4.906703301647277,0.0,0.0,0.0
-1.6148188923297084,18.2,21.5,25.0,6.023425462742797,0.0,0.0,0.0
-1.6148188923297084,18.2,21.5,25.0,4.490116577600786,0.0,0.0,0.0
-1.6148188923297084,18.2,21.5,25.0,4.270790118476744,0.0,0.0,0.0
-1.6148188923297084,18.2,21.5,25.0,5.254626740782656,0.0,0.0,0.0
-1.6148188923297084,18.2,21.5,25.0,8.08259085190835,0.0,0.0,0.0
-1.6148188923297084,18.2,21.5,25.0,5.6635900000701085,0.0,0.0,0.0
-1.6148188923297084,19.0,22.2,27.2,5.300319287369794,0.0,0.0,0.0
-1.6148188923297084,19.0,22.2,27.2,5.655264755972722,0.0,0.0,0.0
-1.6148188923297084,19.0,22.2,27.2,6.285796947984109,0.0,0.0,0.0
-1.6148188923297084,19.0,22.2,27.2,5.867035184382134,0.0,0.0,0.0
-1.6148188923297084,19.0,22.2,27.2,6.06422801526017,0.0,0.0,0.0
-1.6148188923297084,19.0,22.2,27.2,3.8744998869909133,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.8,5.809591220661996,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.8,6.429362643883183,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.8,6.504277755051055,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.8,6.799037401734646,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.8,6.799037401734646,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.8,6.920918750258839,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.6,4098.515517847783,0.0,0.0,0.0
-1.9086721253518135,18.9,22.4,27.6,6.894738805573586,0.0,0.0,0.0
